# HELP datacenter_temperature_celsius Temperature of each rack (Celsius)
# TYPE datacenter_temperature_celsius gauge
datacenter_temperature_celsius{rack="rack1",region="us-east"} 24.3 1714320000000
datacenter_temperature_celsius{rack="rack2",region="us-east"} 25.0 1714320000000
datacenter_temperature_celsius{rack="rack3",region="us-east"} 24.8 1714320000000

# HELP datacenter_power_usage_watts Power usage per rack
# TYPE datacenter_power_usage_watts gauge
datacenter_power_usage_watts{rack="rack1",region="us-east"} 14800 1714320000000
datacenter_power_usage_watts{rack="rack2",region="us-east"} 14500 1714320000000
datacenter_power_usage_watts{rack="rack3",region="us-east"} 15200 1714320000000

# HELP datacenter_pue Power Usage Effectiveness
# TYPE datacenter_pue gauge
datacenter_pue 1.40 1714320000000

# HELP datacenter_ere Energy Reuse Effectiveness
# TYPE datacenter_ere gauge
datacenter_ere 1.20 1714320000000

# HELP datacenter_cer Carbon Emission Reduction
# TYPE datacenter_cer gauge
datacenter_cer 0.80 1714320000000

# HELP datacenter_cue Carbon Usage Effectiveness
# TYPE datacenter_cue gauge
datacenter_cue 0.25 1714320000000

# HELP datacenter_gec Grid Emission Coefficient
# TYPE datacenter_gec gauge
datacenter_gec 0.25 1714320000000

# HELP datacenter_total_co2_emissions_kg Total CO₂ emissions (kg)
# TYPE datacenter_total_co2_emissions_kg gauge
datacenter_total_co2_emissions_kg 5000 1714320000000

# HELP datacenter_water_usage_liters Total water consumption (L)
# TYPE datacenter_water_usage_liters gauge
datacenter_water_usage_liters 25000 1714320000000

# HELP datacenter_water_reuse_liters Water reused (L)
# TYPE datacenter_water_reuse_liters gauge
datacenter_water_reuse_liters 15000 1714320000000

# HELP datacenter_wue Water Usage Effectiveness
# TYPE datacenter_wue gauge
datacenter_wue 0.45 1714320000000

# HELP datacenter_equipment_age_years Equipment age in years
# TYPE datacenter_equipment_age_years gauge
datacenter_equipment_age_years 3 1714320000000

# HELP datacenter_sustainability_rating Sustainability rating (1–5)
# TYPE datacenter_sustainability_rating gauge
datacenter_sustainability_rating 4.5 1714320000000

# HELP datacenter_embedded_carbon_footprint_kg Embedded carbon footprint (kg)
# TYPE datacenter_embedded_carbon_footprint_kg gauge
